iter	Passed	Remaining
576	4005	2936
577	4012	2929
578	4018	2921
579	4024	2914
580	4031	2907
581	4037	2900
582	4044	2892
583	4050	2885
584	4057	2878
585	4063	2870
586	4070	2863
587	4076	2856
588	4083	2849
589	4089	2842
590	4096	2834
591	4102	2827
592	4109	2820
593	4115	2812
594	4121	2805
595	4128	2798
596	4134	2791
597	4141	2783
598	4147	2776
599	4154	2769
600	4160	2762
601	4166	2754
602	4173	2747
603	4179	2740
604	4185	2732
605	4192	2725
606	4199	2718
607	4206	2712
608	4212	2704
609	4219	2697
610	4225	2690
611	4231	2682
612	4238	2675
613	4244	2668
614	4250	2661
615	4257	2653
616	4263	2646
617	4269	2639
618	4276	2632
619	4282	2624
620	4288	2617
621	4294	2610
622	4301	2602
623	4308	2596
624	4315	2589
625	4322	2582
626	4328	2575
627	4335	2568
628	4341	2560
629	4347	2553
630	4354	2546
631	4360	2538
632	4367	2532
633	4374	2525
634	4380	2518
635	4386	2510
636	4393	2503
637	4400	2496
638	4407	2489
639	4413	2482
640	4419	2475
641	4426	2468
642	4432	2461
643	4439	2453
644	4445	2446
645	4454	2440
646	4461	2434
647	4467	2426
648	4473	2419
649	4480	2412
650	4486	2405
651	4493	2398
652	4499	2391
653	4506	2384
654	4512	2376
655	4518	2369
656	4525	2362
657	4531	2355
658	4537	2347
659	4543	2340
660	4550	2333
661	4556	2326
662	4562	2319
663	4569	2312
664	4575	2305
665	4582	2297
666	4588	2290
667	4594	2283
668	4601	2276
669	4608	2269
670	4614	2262
671	4621	2255
672	4627	2248
673	4633	2241
674	4640	2234
675	4647	2227
676	4653	2220
677	4660	2213
678	4666	2206
679	4673	2199
680	4679	2192
681	4686	2185
682	4692	2178
683	4698	2170
684	4705	2163
685	4711	2156
686	4717	2149
687	4724	2142
688	4730	2135
689	4736	2128
690	4743	2121
691	4750	2114
692	4756	2107
693	4763	2100
694	4769	2093
695	4776	2086
696	4782	2079
697	4788	2071
698	4795	2064
699	4801	2057
700	4808	2050
701	4814	2043
702	4820	2036
703	4827	2029
704	4834	2022
705	4842	2016
706	4848	2009
707	4854	2002
708	4861	1995
709	4868	1988
710	4874	1981
711	4881	1974
712	4887	1967
713	4894	1960
714	4901	1953
715	4907	1946
716	4914	1939
717	4920	1932
718	4926	1925
719	4933	1918
720	4939	1911
721	4949	1905
722	4956	1898
723	4962	1891
724	4968	1884
725	4975	1877
726	4981	1870
727	4987	1863
728	4993	1856
729	5000	1849
730	5007	1842
731	5014	1835
732	5020	1828
733	5026	1821
734	5033	1814
735	5039	1807
736	5046	1800
737	5052	1793
738	5058	1786
739	5065	1779
740	5071	1772
741	5078	1765
742	5084	1758
743	5090	1751
744	5096	1744
745	5103	1737
746	5109	1730
747	5116	1723
748	5122	1716
749	5129	1709
750	5135	1702
751	5141	1695
752	5147	1688
753	5154	1681
754	5160	1674
755	5166	1667
756	5173	1660
757	5179	1653
758	5185	1646
759	5192	1639
760	5198	1632
761	5204	1625
762	5211	1618
763	5217	1611
764	5223	1604
765	5229	1597
766	5236	1590
767	5243	1584
768	5250	1577
769	5256	1570
770	5262	1563
771	5268	1556
772	5275	1549
773	5281	1542
774	5287	1535
775	5293	1528
776	5299	1521
777	5305	1514
778	5312	1507
779	5318	1500
780	5324	1493
781	5330	1486
782	5337	1479
783	5343	1472
784	5351	1465
785	5357	1458
786	5365	1452
787	5371	1445
788	5378	1438
789	5385	1431
790	5391	1424
791	5398	1417
792	5404	1410
793	5410	1403
794	5417	1396
795	5424	1390
796	5431	1383
797	5437	1376
798	5447	1370
799	5454	1363
800	5461	1356
801	5467	1349
802	5474	1342
803	5480	1336
804	5487	1329
805	5494	1322
806	5500	1315
807	5506	1308
808	5513	1301
809	5519	1294
810	5526	1287
811	5532	1280
812	5538	1273
813	5544	1267
814	5551	1260
815	5557	1253
816	5564	1246
817	5570	1239
818	5576	1232
819	5583	1225
820	5589	1218
821	5596	1211
822	5603	1205
823	5609	1198
824	5615	1191
825	5622	1184
826	5628	1177
827	5634	1170
828	5641	1163
829	5647	1156
830	5654	1149
831	5661	1143
832	5667	1136
833	5678	1130
834	5688	1124
835	5699	1118
836	5710	1112
837	5721	1105
838	5730	1099
839	5737	1092
840	5744	1085
841	5750	1079
842	5756	1072
843	5763	1065
844	5769	1058
845	5775	1051
846	5782	1044
847	5788	1037
848	5794	1030
849	5800	1023
850	5807	1016
851	5814	1009
852	5820	1003
853	5826	996
854	5832	989
855	5839	982
856	5845	975
857	5852	968
858	5858	961
859	5865	954
860	5871	947
861	5878	941
862	5885	934
863	5893	927
864	5899	920
865	5905	913
866	5912	906
867	5918	900
868	5925	893
869	5931	886
870	5940	879
871	5948	873
872	5954	866
873	5961	859
874	5967	852
875	5973	845
876	5979	838
877	5986	831
878	5992	824
879	5998	818
880	6005	811
881	6011	804
882	6017	797
883	6024	790
884	6030	783
885	6036	776
886	6042	769
887	6049	762
888	6055	756
889	6061	749
890	6068	742
891	6074	735
892	6080	728
893	6086	721
894	6093	714
895	6099	708
896	6106	701
897	6112	694
898	6118	687
899	6125	680
900	6131	673
901	6137	666
902	6144	660
903	6151	653
904	6157	646
905	6163	639
906	6170	632
907	6176	625
908	6183	619
909	6189	612
910	6195	605
911	6202	598
912	6208	591
913	6214	584
914	6220	577
915	6227	571
916	6233	564
917	6240	557
918	6246	550
919	6252	543
920	6258	536
921	6265	530
922	6271	523
923	6278	516
924	6284	509
925	6290	502
926	6296	495
927	6302	489
928	6309	482
929	6316	475
930	6322	468
931	6328	461
932	6335	454
933	6341	448
934	6348	441
935	6354	434
936	6360	427
937	6367	420
938	6373	414
939	6379	407
940	6386	400
941	6392	393
942	6399	386
943	6412	380
944	6420	373
945	6427	366
946	6436	360
947	6443	353
948	6449	346
949	6456	339
950	6463	333
951	6470	326
952	6476	319
953	6483	312
954	6490	305
955	6496	299
956	6503	292
957	6509	285
958	6516	278
959	6522	271
960	6529	264
961	6535	258
962	6542	251
963	6548	244
964	6554	237
965	6561	230
966	6567	224
967	6574	217
968	6580	210
969	6586	203
970	6592	196
971	6599	190
972	6605	183
973	6612	176
974	6618	169
975	6624	162
976	6631	156
977	6637	149
978	6644	142
979	6650	135
980	6657	128
981	6663	122
982	6669	115
983	6676	108
984	6682	101
985	6689	94
986	6695	88
987	6701	81
988	6708	74
989	6714	67
990	6721	61
991	6727	54
992	6734	47
993	6741	40
994	6747	33
995	6754	27
996	6760	20
997	6766	13
998	6773	6
999	6779	0
